Sr No.,School Name,UDISE Code,State,District,Block,Cluster,Village,PIN Code,Address,School Management,School Category,School Type,Classes From–To,Rural/Urban,School Status,LGD Village,LGD Panchayat,LGD Block
86,"Z.P. PS, KHURSAPAR",27090607201,MAHARASHTRA,NAGPUR,RAMTEK,KARWAHI ,KHURSAPAR,441401,"ZILHA PARISHAD PRAMARY SCHOOL KHURSAPAR, AT.KHURSAPAR ,PO.MANEGAONTEK , TA.RAMTEK, , DI. NAGPUR.",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Khursapar,Bandra,Ramtek
87,"Z.P. PS, CHHAWARI",27090607301,MAHARASHTRA,NAGPUR,RAMTEK,KARWAHI ,CHHAWARI,441401,"CHHAWARIPOST,KARWAHI TA.RAMTEK DIST.NAGPUR",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Chawari,Karwahi,Ramtek
88,"Z.P. UPS, DULARA",27090607401,MAHARASHTRA,NAGPUR,RAMTEK,KARWAHI ,DULARA,441401,AT. DULARA PO. KARWAHI TA. RAMTEK DIST. NAGPUR,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Dulara,Karwahi,Ramtek
89,"Z.P. PS, SITAPAR GONDITOLA",27090607503,MAHARASHTRA,NAGPUR,RAMTEK,KARWAHI ,SITAPAR GONDITOLA RITHI,441401,SITAPAR GONDITOLA POST KARWAHI TA. RAMTEK DIST. NAGPUR ,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Sitapur,Pindakapar(L),Ramtek
90,"Z.P. UPS, HIWARABAZAR",27090607601,MAHARASHTRA,NAGPUR,RAMTEK,HIWARABAZAR ,HIWARABAZAR,441401,AT POST HIWRABAZAR TALUKA RAMTEK DISTRICT NAGPUR,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Hiwarabazar,Hiwrabajar,Ramtek
91,"SHANTINIKETAN ADHYAYAN MANDIR, HIWARA(BAZAR)",27090607602,MAHARASHTRA,NAGPUR,RAMTEK,HIWARABAZAR ,HIWARABAZAR,441401,Hiwarabajar Ta. Ramtek Dist. Nagpur,Other State Govt. Managed,Pr. Up Pr. and Secondary Only,3-Co-educational,5–10,Rural,Operational,Hiwarabazar,Hiwrabajar,Ramtek
92,"Z.P. UPS, TANGLA",27090607701,MAHARASHTRA,NAGPUR,RAMTEK,HIWARABAZAR ,TANGLA,441401,"At Tangla Ta- Ramtek, Dist- Nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Tangla,Tangla,Ramtek
93,"RANI DURGWATI PRY.ASH.SCH, TANGLA",27090607702,MAHARASHTRA,NAGPUR,RAMTEK,HIWARABAZAR ,TANGLA,440013,At.Post.Tangla Tha.Ramtek Dist.Nagpur,Other State Govt. Managed,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Tangla,Tangla,Ramtek
94,"RANI DURGWATI MDY.ASH.SCH, TANGLA",27090607703,MAHARASHTRA,NAGPUR,RAMTEK,HIWARABAZAR ,TANGLA,441401,Rani Durgawati Ashram school Tangla th Ramtek Dist Nagpur ,Other State Govt. Managed,Up. Pr. Secondary and Higher Sec,3-Co-educational,8–12,Rural,Operational,Tangla,Tangla,Ramtek
95,"Z.P. UPS, PUSDA",27090607901,MAHARASHTRA,NAGPUR,RAMTEK,HIWARABAZAR ,PUSDA,441401,"Pusda, Post- Hiwarabajar, Tah- Ramtek, Dist- Nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Pusda Punarvasan No. 1,Pusada Punarvasan No. 1,Ramtek
96,"Z.P. UPS, SALAI (HIWRA)",27090608001,MAHARASHTRA,NAGPUR,RAMTEK,HIWARABAZAR ,SALAI,441401,"Salai Hiwara, Post- Hiwarabazar, Tah- Ramtek, Dist- Nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Salai(Hiwrabajar),Salai,Ramtek
97,"Z.P. PS, KHANORA",27090608101,MAHARASHTRA,NAGPUR,RAMTEK,HIWARABAZAR ,KHANORA,441401,"At khanora, Post Hiwrabazar, Ta-Ramtek, Dist-Nagpur",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Khanora,Khanora,Ramtek
98,"Z.P. PS, LAKHAPUR",27090608202,MAHARASHTRA,NAGPUR,RAMTEK,HIWARABAZAR ,LAKHAPUR(RITHI),441401,"At-Lakhapur, Post- Belda, Ta-Ramtek, Dist-Nagpur",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Lakhapur,Khanora,Ramtek
99,"Z.P. PS, FULZARI (HIWARA)",27090608301,MAHARASHTRA,NAGPUR,RAMTEK,HIWARABAZAR ,FULZARI(HIWARA),441401,"At Fulzari, Post Hiwara bazar, Ta-Ramtek",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Fulzari,Hiwrabajar,Ramtek
100,"Z.P. PS, AKOLA",27090608401,MAHARASHTRA,NAGPUR,RAMTEK,HIWARABAZAR ,AKOLA,441401,AT AKOLA POST HIWRA BAZAR TAHSIL RAMTEK DISTRICT NAGPUR,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Akola,Khanora,Ramtek
101,"Z.P. PS, WARGHAT",27090608501,MAHARASHTRA,NAGPUR,RAMTEK,HIWARABAZAR ,WARGHAT,441401,AT WARGHAT POST HIWRA BAZAR TAHSIL RAMTEK DISTRIST NAGPUR PIN CODE NO 441401,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Warghat,Warghat,Ramtek
102,"Z.P. PS, TUMDITOLA",27090608601,MAHARASHTRA,NAGPUR,RAMTEK,HIWARABAZAR ,TUMDITOLA,441401,"At-Tumditola, Po-Hiwarabazar, ",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Hiwarabazar,Hiwrabajar,Ramtek
103,"Z.P. UPS, GHOTI (RAMJAN)",27090608701,MAHARASHTRA,NAGPUR,RAMTEK,HIWARABAZAR ,GHOTI(RAMJAN),441401,At. Ghoti Ramjan Post. Hiwara Bazar Ta. Ramtek Dist. Nagpur,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Ghoti(Dahoda),Salai,Ramtek
104,Z.P. UPS MUSEWADI,27090608901,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,MUSEWADI,441106,"Musewadi, Tah- Ramtek, Dist- Nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Musewadi,Musewadi,Ramtek
105,"MATOSHRI KASHIDEVI MADHYAMIK AND UCCHA MADHYAMIK VIDYALAYA, MUSEWADI",27090608902,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,MUSEWADI,441106,"At. Post Musewadi Tah. Ramtek, Dist. Nagpur 441106",Other State Govt. Managed,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,5–12,Rural,Operational,Musewadi,Musewadi,Ramtek
106,"Z.P. UPS, UMRI",27090609001,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,UMARI(CHI),441106,"Umari, Post- Musewadi, Tah- Ramtek, Dist- Nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Umri(Junewani),Umri,Ramtek
107,"Z.P. PS, MURDA",27090609101,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,MURDA,441106,"Murda, Post- Musewadi, Tah- Ramtek",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Murda,Mandri,Ramtek
108,"Z.P. PS, CHICHDA",27090609201,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,CHICHADA,441106,"Chichada, Post- Musewadi, Tah- Ramtek, Dist- Nagpur",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Chichda(Juna),Umri,Ramtek
109,GOVT. ASHRAM SCH NAVEGAON (CHICHDA),27090609202,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,CHICHADA,441106,at navegaon ta Ramtek Dist NAGPUR,Tribal Welfare Department,Pr. Up Pr. and Secondary Only,3-Co-educational,5–10,Rural,Operational,Navegaon(Belda),Umri,Ramtek
110,"Z.P. PS, GUDEGAON",27090609301,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,GUDEGAON,441106,"At-Gudhegaon, Po-Musewadi, Ta-Ramtek-441106, Dist-Nagpur",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Gudegaon,Umri,Ramtek
111,"Z.P. PS, MANGALI",27090609401,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,MANGALI,441106,"Mangli, Post- Musewadi, Tah- Ramtek, Dist- Nagpur",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Mangli,Umri,Ramtek
112,"Z.P. PS, NAHAVI",27090609501,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,NAHAVI,441106,"Nahavi, Post- Bhondewada, Tah- Ramtek, Dist- Nagpur",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Nahabi,Pindakapar(S),Ramtek
113,"Z.P. PS, MAHARAJPUR",27090609601,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,MAHARAJPUR,441106,"Maharajpur, Post- Musewadi, Tah- Ramtek, dist- Nagpur",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Maharajpur,Pindakapar(S),Ramtek
114,"Z.P. UPS, DONGARI",27090609701,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,DONGARI,441106,"Dongari, Post- Bhondewada, Tah- Ramtek, Dist- Nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Dongri,Dongri,Ramtek
115,"Z.P. PS, CHORKHUMARI",27090609802,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,CHORKHUMARI,441106,At-Chorkhumari Post.Bhondewada Ta.Ramtek Dist.Nagpur,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Chorkhumari,Dongri,Ramtek
116,"Z.P. PS, MUKNAPUR",27090609901,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,MUKANAPUR,441106,"At-Muknapur, Po-Bhondewada, Ta-Ramtek, Dist-Nagpur",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Mukanapur,Dongri,Ramtek
117,"Z.P. UPS, BHONDEWADA",27090610001,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,BHONDEWADA,441106,"Bhondewada, Tah- Ramtek, Dist- Nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Bhondewada,Khumari,Ramtek
118,"Z.P. PS, SONEGHAT",27090610102,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,SONEGHAT,441106,"At-Soneghat, Ta-Ramtek, Dist-Nagpur",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Soneghat,Soneghat,Ramtek
119,"Z.P. PS, DUDHALA",27090610202,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,DUDHALA,441106,Z P SCHOOL DUDHALA PO BHONDEWADA TA RAMTEK DIST NAGPUR,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Kawadak,Soneghat,Ramtek
120,"Z.P. PS, CHOUGAN",27090610301,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,CHOUGAN,441106,"At-Chougan, Po-Bhondewada, Ta-Ramtek, Distt-Nagpur",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Chaugan,Soneghat,Ramtek
121,"Z.P. UPS, PINDKAPAR (SONPUR)",27090610401,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,PINDAKAPAR (SONPUR),441106,"Pindakapar, Post- Bhondewada, Tah- Ramtek, Dist-Nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Pindkapur(Sonpur),Pindakapar(S),Ramtek
122,"Z.P. PS, SHIWANI (BHONDKI)",27090610501,MAHARASHTRA,NAGPUR,RAMTEK,SHIWANI (BHONDKI) ,SHIWANI (B),441106,ZILLA PARISHAD PRIMARY SCHOOL SHIWANI PO-SHIWANI TA-RAMTEK DIST-NAGPUR 441106,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Shivani (Bhodaki),Shiwni(Bho),Ramtek
123,"SWAMI SITARAMDAS MAHARAJ VIDYALAYA, SHIONI(BHONDKI)",27090610502,MAHARASHTRA,NAGPUR,RAMTEK,SHIWANI (BHONDKI) ,SHIWANI (B),441106,Shiwani Bhondki th Ramtek Dist Nagpur,Partially Govt. Aided,Pr. Up Pr. and Secondary Only,3-Co-educational,5–10,Rural,Operational,Shivani (Bhodaki),Shiwni(Bho),Ramtek
124,"Z.P. UPS, KIRNAPUR (SHIWANI)",27090610601,MAHARASHTRA,NAGPUR,RAMTEK,SHIWANI (BHONDKI) ,KIRNAPUR (SHIWANI),441106,"Kirnapur, Post- Shivani, Tah- Ramtek, Dist- Nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Kirnapur(Shivani),Shiwni(Bho),Ramtek
125,"Z.P. PS, ASOLI",27090610701,MAHARASHTRA,NAGPUR,RAMTEK,SHIWANI (BHONDKI) ,ASOLI,441106,ZILLA PARISHAD PRATHMIK SHALA ASOLI PO-AROLI TA-RAMTEK DIST-NAGPUR 441106,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Asoli,Aasoli,Ramtek
126,"Z.P. PS, SALAIMETA",27090610801,MAHARASHTRA,NAGPUR,RAMTEK,SHIWANI (BHONDKI) ,SALAIMETA,441101,ZILLA PARISHAD PRIMARY SCHOOL SALAIMETA POST-SHIONI TA-RAMTEK DIST- NAGPUR 441106,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Salaimeta,Bhandarbodi,Ramtek
127,"Z.P. PS, HASAPUR",27090610901,MAHARASHTRA,NAGPUR,RAMTEK,SHIWANI (BHONDKI) ,HASAPUR,441106,ZILLA PARISHAD PRIMARY SCHOOL HASAPUR PO-SHIWANI TA RAMTEK DIST-NAGPUR 441106,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Hansapur,Bhandarbodi,Ramtek
128,"PM SHRI Z.P. PS, BHANDARBODI",27090611001,MAHARASHTRA,NAGPUR,RAMTEK,SHIWANI (BHONDKI) ,BHANDARBODI,441106,ZILLA PARISHAD PRIMARY SCHOOL BHANDARBODI POST-BHANDARBODI TA-RAMTEK DIST-NAGPUR 441106,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Bhandar Bodi,Bhandarbodi,Ramtek
129,"MAHATMA JYOTIBA FULE VIDYALAY, BHANDARBODI",27090611002,MAHARASHTRA,NAGPUR,RAMTEK,SHIWANI (BHONDKI) ,BHANDARBODI,441106,"AT POST BHANDARBODI TAH RAMTEK DIST NAGPUR,441106.",Other State Govt. Managed,Pr. Up Pr. and Secondary Only,3-Co-educational,5–10,Rural,Operational,Bhandar Bodi,Bhandarbodi,Ramtek
130,"Z.P. PS, BHIMANTOLA",27090611101,MAHARASHTRA,NAGPUR,RAMTEK,SHIWANI (BHONDKI) ,BHIMANTOLA,441106,ZILLA PARISHAD PRIMARY SCHOOL BHIMANTOLA POST-BHANDARBODI TA-RAMTEK DIST-NAGPUR 441106 ,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Bhandar Bodi,Bhandarbodi,Ramtek
131,"Z.P. PS, GHOGRA",27090611201,MAHARASHTRA,NAGPUR,RAMTEK,SHIWANI (BHONDKI) ,GHOGRA,441106,"At. Ghogra, Post. Bhandarbodi,Ta. Ramtek, Dist. Nagpur",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Guguldoh,Panchala,Ramtek
132,"Z. P. PS, MAHADULA",27090611301,MAHARASHTRA,NAGPUR,RAMTEK,SHIWANI (BHONDKI) ,MAHADULA,441106,"At Post. Mahadula. Ta. Ramtek, Dist. Nagpur",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Mahadula,Mahadula,Ramtek
133,"SANTDNYANESWAR VIDYAMANDIR,MAHADULA",27090611302,MAHARASHTRA,NAGPUR,RAMTEK,SHIWANI (BHONDKI) ,MAHADULA,441106,Mahadula Tumsar Road Tah Ramtek Dist Nagpur 441106,Other State Govt. Managed,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,5–12,Rural,Operational,Mahadula,Mahadula,Ramtek
134,"Z.P. PS, LOHARA",27090611401,MAHARASHTRA,NAGPUR,RAMTEK,,LOHARA,441106,"At. Lohara, Post. Mahadula, Dist, Nagpur",Local Body,Primary,3-Co-educational,1–4,Rural,Closed,Lohara,Mahadula,Ramtek
135,"Z.P. PS, GHOTI (MAHADULA)",27090611501,MAHARASHTRA,NAGPUR,RAMTEK,SHIWANI (BHONDKI) ,GHOTI(MAHADULA),441106,"Z. P. Primary school Ghoti Mahadula Ta. Ramtek, Dist, Nagpur",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Ghoti(Ramjan),Mahadula,Ramtek
136,"Z.P. PS, PANCHALA (KHURD)",27090611601,MAHARASHTRA,NAGPUR,RAMTEK,SHIWANI (BHONDKI) ,PANCHALA(KHURD),441106,"at. Panchala Post. Mahadula Ta. Ramteak, Dist. Nagpur",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Panchala (Kh),Panchala,Ramtek
137,"Z.P. UPS, MANDRI",27090611701,MAHARASHTRA,NAGPUR,RAMTEK,SHIWANI (BHONDKI) ,MANDRI,441106,"At- Mandri, Ta-Ramtek, Dist-Nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Mandri,Mandri,Ramtek
138,"SHRI GURUDEO TAGOR VAN VA PARYAVARAN VIDYALAYA, MANDRI",27090611702,MAHARASHTRA,NAGPUR,RAMTEK,SHIWANI (BHONDKI) ,MANDRI,441106,"Mandri, Musewadi Ramtek",Partially Govt. Aided,Upper Pr. and Secondary,3-Co-educational,8–10,Rural,Operational,Mandri,Mandri,Ramtek
139,"Z.P. UPS, PANCHALA (B)",27090611801,MAHARASHTRA,NAGPUR,RAMTEK,SHIWANI (BHONDKI) ,PANCHALA(B),441106,"Panchala bk, Post- Mahadula, Tah- Ramtek, Dist- Nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Panchala (Bk),Panchala,Ramtek
140,"Z.P. UPS, KACHURWAHI",27090611901,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,KACHURWAHI,441106,Kachurwahi Ta Ramtek Di Nagpur,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Kachurwahi,Kachurwahi,Ramtek
141,"LATE ADV. NANDKISHOR JAISWAL MADHYAMIK VIDYALAYA, KACHURWAHI",27090611902,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,KACHURWAHI,441106,At. Post Kachurwahi Tah. Ramtek Dist Nagpur,Other State Govt. Managed,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,5–12,Rural,Operational,Kachurwahi,Kachurwahi,Ramtek
142,"SURAJ MATIMAND MULA MULINCHI NIWASI SHALA, KACHURWAHI",27090611903,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,KACHURWAHI,441106,At kachurwahi Ta Ramtek Dist Nagpur,Other State Govt. Managed,Primary,3-Co-educational,1–5,Rural,Operational,Kachurwahi,Kachurwahi,Ramtek
143,"EKVIRA MATIMAND MULANCHE BALGRUH, KACHURWAHI",27090611904,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,KACHURWAHI,441106,"at kachurwahi, tha. ramtk ,dist. nagpur",Other State Govt. Managed,Primary with Upper Primary,1-Boys,1–8,Rural,Operational,Kachurwahi,Kachurwahi,Ramtek
144,"Z.P. UPS, NAWARGAON",27090612001,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,NAWARGAON,441106,"Nawargaon, Post-Ramtek, tah- Ramtek, Dist- Nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Nawargaon,Navergaon,Ramtek
145,"Z.P. UPS, BORI",27090612101,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,BORI,441106,"AT. BORI POST. KACHURWAHI, TA. RAMTEK ,DIST. NAGPUR",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Bori,Bori,Ramtek
146,NEW INDIRA CONVENT (MARATHI) BORI,27090612102,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,BORI,441106,New Indira Marathi schoolboripostkachurwahitharamtek Dr Nagpur,Private Unaided (Recognized) ,Primary,3-Co-educational,1–4,Rural,Operational,Bori,Bori,Ramtek
147,"INDIRA GANDHI VIDYA MANDIR, BORI",27090612103,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,BORI,441106,Indira Gandhi Vidya Mandir Bori Post Kachurwahi Tha Ramtek Ft Nagpur,Other State Govt. Managed,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,5–12,Rural,Operational,Bori,Bori,Ramtek
148,"Z.P. UPS, LOHADONGARI",27090612201,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,LOHADONGARI,441106,"At-Lohadongari, Po-Dudhala, Ta-Ramtek, Distt-Nagpuur",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Lohadongari,Lohadongri,Ramtek
149,"Z.P. UPS, CHOKHALA",27090612301,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,CHOKHALA,441106,"Chokhala, Post- Aroli, Tah- Ramtek, Dist- Nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Chokhala,Kirnapur,Ramtek
150,"Z.P. PS, MASLA",27090612401,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,MASLA,441106,"At-Masla, Po-Kachurwahi, Ta-Ramtek, Dist-Nagpur",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Masala,Bori,Ramtek
151,"Z.P. PS, KIRNAPUR (KACHURWAHI)",27090612501,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,KIRANAPUR(KACHURWAHI),441106,"At-Kirnapur, Po- Kachurwahi Ta-Ramtek",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Kirnapur(Khodgaon),Kirnapur,Ramtek
152,"Z.P. PS, KHODGAON",27090612601,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,KHODGAON,441106,at. khodgaon po. kachurwahi ta. ramtek dist. nagpur,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Khodegaon,Kachurwahi,Ramtek
153,"Z.P. PS, KHANDALA",27090612701,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,KHANDALA,441106,"Khandala, Post- Kachurwahi, Tah- Ramtek, Dist- Nagpur",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Khandala (Kh),Bori,Ramtek
154,"Z.P. PS, SHIRPUR",27090612801,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,SHIRPUR,441106,"Shirpur, Post- Karchurwahi, Tah- Ramtek, Dist- Nagpur",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Kachurwahi,Kachurwahi,Ramtek
155,"Z.P. PS, HATODI",27090612901,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,HATODI,441106,Hatodi po-Kachurwahi Ta-Ramtek Dist-Nagpur,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Hatodi,Lohadongri,Ramtek
156,"Z.P. PS, SANGRAMPUR",27090613001,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,SANGRAMPUR,441106,"At- Sangarampur, Po-Kachurwahi, Ta-Ramtek, Dist-Nagpur",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Sagrampur,Navergaon,Ramtek
157,"Z.P. PS, SANGRAMPURTOLA",27090613002,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,SANGRAMPUR,441106,"At-Sangarampurtola, Po-Ramtek, Ta-Ramtek, Distt-Nagpur",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Sagrampur,Navergaon,Ramtek
158,"Z.P. PS, AAMGAON",27090613101,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,AAMGAON,441106,AT AMGAON TH RAMTEK DI NAGPUR,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Amgaon,Navergaon,Ramtek
159,"BHARTIY PUBLIC SCHOOL, AMBALA ",27090613102,MAHARASHTRA,NAGPUR,RAMTEK,KACHURWAHI ,AAMGAON,441106,"Bhartiya Public School , Premises of Nagrik Adhyapak College, Aamgaon",Private Unaided (Recognized) ,Primary,3-Co-educational,1–5,Rural,Operational,Amgaon,Navergaon,Ramtek
160,"Z.P. PS NO.1, NAGARDHAN",27090613301,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,NAGARDHAN,441106,"Nagardhan, Tah- Ramtek, Dist- Nagpur",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Nagardhan,Nagardhan,Ramtek
161,"Z.P. PS NO.2, NAGARDHAN",27090613302,MAHARASHTRA,NAGPUR,RAMTEK,,NAGARDHAN,441106,,Local Body,Primary,3-Co-educational,1–4,Rural,Permanently Closed,Nagardhan,Nagardhan,Ramtek
162,"NANDI VARDHAN PS, NAGARDHAN",27090613303,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,NAGARDHAN,441106,Nagardhan Tha. Ramtek Dist. Nagpur,Other State Govt. Managed,Primary,3-Co-educational,1–4,Rural,Operational,Nagardhan,Nagardhan,Ramtek
163,NANDIVRDHAN VDY&JR COLLEGE NAGARDHN,27090613304,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,NAGARDHAN,441106,Nagardhan Ta. Ramtek Dist. nagpur,Other State Govt. Managed,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,5–12,Rural,Operational,Nagardhan,Nagardhan,Ramtek
164,LATE.INDIRA GANDHI VDY NAGARDHAN,27090613305,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,NAGARDHAN,441106,NAGARDHAN TA RAMTEK DIST NAGPUR,Other State Govt. Managed,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1–12,Rural,Operational,Nagardhan,Nagardhan,Ramtek
165,JAGRUTI ADI PRATHMIK ASHRAM SCH NAGARDHAN,27090613307,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,NAGARDHAN,441106,At Nagardhan Ta-Ramtek,Other State Govt. Managed,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Nagardhan,Nagardhan,Ramtek
166,JAGRUTI ADI. MADHYAMIK ASHRAM SCH. NAGARDHAN,27090613308,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,NAGARDHAN,441106,At Nagardhan Ta-Ramtek,Other State Govt. Managed,Upper Pr. and Secondary,3-Co-educational,8–10,Rural,Operational,Nagardhan,Nagardhan,Ramtek
167,"SARASWATI CONVENT AND JUNIOR COLLEGE, NAGARDHAN",27090613309,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,NAGARDHAN,441106,"Near Koteshwar Tempal, Satak Road, Nagardhan, Tah. Ramtek, Dis. Nagpur",Private Unaided (Recognized) ,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1–12,Rural,Operational,Nagardhan,Nagardhan,Ramtek
168,NAVPRABHAT CONVENT NAGARDHAN,27090613310,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,NAGARDHAN,441106,Mouda road nandapuri bus stand nagrdhan,Private Unaided (Recognized) ,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Nagardhan,Nagardhan,Ramtek
